  1 loss:2.33, accuracy:0.07
 10.28 loss:0.132, accuracy:0.97
 10.29 loss:0.136, accuracy:0.97
 10.30 loss:0.0557, accuracy:0.99
 10.31 loss:0.134, accuracy:0.96
 10.32 loss:0.0581, accuracy:1.0
 10.33 loss:0.147, accuracy:0.95
 10.34 loss:0.112, accuracy:0.96
 10.35 loss:0.179, accuracy:0.96
 10.36 loss:0.118, accuracy:0.97
 10.37 loss:0.1, accuracy:0.98
 10.38 loss:0.102, accuracy:0.97
 10.39 loss:0.133, accuracy:0.98
 10.40 loss:0.136, accuracy:0.96
loss:0.258, accuracy:0.922
